%=SNX 2.02 ASU 18:074:83704 ASU 14:213:00000 14:244:00000 P 00437 2            2
*-------------------------------------------------------------------------------
+FILE/REFERENCE
*INFO_TYPE_________ INFO________________________________________________________
 DESCRIPTION        Swarm monthly gravity field
 CONTACT            ales.bezdek@asu.cas.cz
 SOFTWARE           ASU Decorrelated Acceleration Approach (gpest_10)
 INPUT              Swarm kinematic orbits
*Internal info:
* komb_multi_01_SW_2014_0801_NormMtx_nmax020 
* pg: sinex_asu_01c, 15-Mar-2018 23:15:03
-FILE/REFERENCE
*-------------------------------------------------------------------------------
+FILE/COMMENT
 modelname              ASU-Swarm-2014-08-nmax20-orbits-IFG
 earth_gravity_constant 3.986004415e+14
 radius                 6378136.3
 max_degree             20
 norm                   fully_normalized
 tide_system            tide_free
-FILE/COMMENT
*-------------------------------------------------------------------------------
+SOLUTION/STATISTICS
*____STATISTICAL_PARAMETER_____ _______VALUE(S)_______
 NUMBER OF OBSERVATIONS                       23440104
 NUMBER OF UNKNOWNS                                437
 WEIGHTED SQUARE SUM OF O-C           29635203.5899576
-SOLUTION/STATISTICS
*-------------------------------------------------------------------------------
+SOLUTION/ESTIMATE
*INDEX _TYPE_ CODE PT SOLN _REF_EPOCH__ UNIT S ___ESTIMATED_VALUE___ __STD_DEV__
     1 CN        2 --    0 14:228:43200 ---- 2 -4.84165376033134e-04 1.90378e-11
     2 CN        2 --    1 14:228:43200 ---- 2 -5.19936489115820e-10 1.78642e-11
     3 SN        2 --    1 14:228:43200 ---- 2  1.42224084105130e-09 1.81548e-11
     4 CN        2 --    2 14:228:43200 ---- 2  2.43925210523538e-06 1.99108e-11
     5 SN        2 --    2 14:228:43200 ---- 2 -1.40043277598303e-06 2.00154e-11
     6 CN        3 --    0 14:228:43200 ---- 2  9.57145026840539e-07 1.46856e-11
     7 CN        3 --    1 14:228:43200 ---- 2  2.03044789439954e-06 1.40881e-11
     8 SN        3 --    1 14:228:43200 ---- 2  2.48353061575544e-07 1.43522e-11
     9 CN        3 --    2 14:228:43200 ---- 2  9.04730483322522e-07 1.46201e-11
    10 SN        3 --    2 14:228:43200 ---- 2 -6.19015629938334e-07 1.45082e-11
    11 CN        3 --    3 14:228:43200 ---- 2  7.21233477022752e-07 1.58398e-11
    12 SN        3 --    3 14:228:43200 ---- 2  1.41427604130929e-06 1.58534e-11
    13 CN        4 --    0 14:228:43200 ---- 2  5.40093195836478e-07 1.16858e-11
    14 CN        4 --    1 14:228:43200 ---- 2 -5.36292318090031e-07 1.29878e-11
    15 SN        4 --    1 14:228:43200 ---- 2 -4.73519430261221e-07 1.33539e-11
    16 CN        4 --    2 14:228:43200 ---- 2  3.50558168556785e-07 1.19032e-11
    17 SN        4 --    2 14:228:43200 ---- 2  6.62573651736229e-07 1.16940e-11
    18 CN        4 --    3 14:228:43200 ---- 2  9.90894128723885e-07 1.28934e-11
    19 SN        4 --    3 14:228:43200 ---- 2 -2.01030203982282e-07 1.28604e-11
    20 CN        4 --    4 14:228:43200 ---- 2 -1.88358533635985e-07 1.36323e-11
    21 SN        4 --    4 14:228:43200 ---- 2  3.08798606244930e-07 1.34341e-11
    22 CN        5 --    0 14:228:43200 ---- 2  6.85181747736667e-08 1.31615e-11
    23 CN        5 --    1 14:228:43200 ---- 2 -6.28637759512490e-08 9.84649e-12
    24 SN        5 --    1 14:228:43200 ---- 2 -9.43764124077386e-08 9.82300e-12
